Agency,Agency Type,Distribution Channel,Product Name,Gender,Duration,Destination,Net Sales,Commision (in value),Age
SSI,Airlines,Online,Ticket Protector,Prefer not say,22,SINGAPORE,6.43,1.8,48
C2B,Airlines,Online,Bronze Plan,M,5,SINGAPORE,17.55,4.39,45
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,3,THAILAND,28.0,0.0,36
JZI,Airlines,Online,Value Plan,F,3,THAILAND,33.0,11.55,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,23,MALAYSIA,20.0,0.0,48
JZI,Airlines,Online,Basic Plan,M,0,INDIA,22.0,7.7,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,48,MALAYSIA,28.0,0.0,25
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,8,INDONESIA,21.0,0.0,32
C2B,Airlines,Online,Bronze Plan,F,13,SINGAPORE,29.5,7.38,24
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,32,THAILAND,39.6,23.76,32
C2B,Airlines,Online,Bronze Plan,M,25,SINGAPORE,23.4,5.85,38
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,72,PHILIPPINES,19.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,16,UNITED STATES,80.0,0.0,27
JZI,Airlines,Online,Basic Plan,M,59,THAILAND,22.0,7.7,52
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,4,MALAYSIA,36.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,14,SINGAPORE,28.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,25,THAILAND,39.6,23.76,46
JZI,Airlines,Online,Basic Plan,F,8,PHILIPPINES,22.0,7.7,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,23,UNITED KINGDOM,32.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,69,"TAIWAN, PROVINCE OF CHINA",10.0,0.0,28
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,12,INDONESIA,12.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,106,CHINA,40.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,18,"TAIWAN, PROVINCE OF CHINA",21.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,SAUDI ARABIA,15.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,59,PHILIPPINES,10.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,26,MALAYSIA,19.8,11.88,28
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,19,FINLAND,80.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,66,THAILAND,29.7,17.82,26
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,15,SINGAPORE,11.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,12,UNITED STATES,10.0,0.0,54
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,4,THAILAND,22.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,7,MALAYSIA,22.0,7.7,40
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,21,THAILAND,39.6,23.76,27
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,84,MYANMAR,10.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,26,SINGAPORE,60.0,0.0,40
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,2,BANGLADESH,10.0,0.0,40
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,5,MALAYSIA,20.0,0.0,53
SSI,Airlines,Online,Ticket Protector,Prefer not say,0,SINGAPORE,5.8,1.63,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,9,MALAYSIA,10.0,0.0,53
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,31,PHILIPPINES,25.0,0.0,37
C2B,Airlines,Online,Silver Plan,F,33,SINGAPORE,22.5,5.63,32
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,20,MALAYSIA,30.0,0.0,55
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,6,VIET NAM,20.0,0.0,41
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,15,VIET NAM,10.0,0.0,54
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,32,INDIA,39.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,73,GERMANY,20.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,8,MALAYSIA,18.0,6.3,34
JZI,Airlines,Online,Basic Plan,F,18,INDONESIA,37.0,12.95,33
C2B,Airlines,Online,Bronze Plan,F,24,SINGAPORE,17.55,4.39,36
C2B,Airlines,Online,Bronze Plan,M,21,SINGAPORE,11.5,2.88,37
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,70,CHINA,22.0,0.0,47
JZI,Airlines,Online,Basic Plan,M,37,VIET NAM,22.0,7.7,42
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,5,THAILAND,34.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,16,HONG KONG,16.0,0.0,33
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,57,UNITED STATES,19.8,11.88,31
SSI,Airlines,Online,Ticket Protector,Prefer not say,47,SINGAPORE,16.2,4.54,48
C2B,Airlines,Online,Silver Plan,F,13,SINGAPORE,29.0,7.25,52
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,36,INDONESIA,10.0,0.0,27
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,30,"TAIWAN, PROVINCE OF CHINA",27.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,7,RUSSIAN FEDERATION,54.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,4,CHINA,54.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,98,"TAIWAN, PROVINCE OF CHINA",21.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,9,VIET NAM,10.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,99,INDIA,10.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,59,THAILAND,22.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,28,VIET NAM,13.0,0.0,36
C2B,Airlines,Online,Bronze Plan,F,9,SINGAPORE,35.5,8.88,27
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,84,JAPAN,40.0,0.0,36
C2B,Airlines,Online,Silver Plan,F,6,SINGAPORE,29.5,7.38,23
RAB,Airlines,Online,Value Plan,M,16,BRUNEI DARUSSALAM,15.0,6.0,46
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,7,"TAIWAN, PROVINCE OF CHINA",10.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,2,THAILAND,0.0,5.94,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,30,ITALY,18.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,25,UNITED KINGDOM,9.9,5.94,30
JZI,Airlines,Online,Basic Plan,M,16,CHINA,26.0,9.1,48
C2B,Airlines,Online,Bronze Plan,M,19,SINGAPORE,20.0,5.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,11,CHINA,31.0,0.0,35
JZI,Airlines,Online,Basic Plan,M,4,INDONESIA,18.0,6.3,31
C2B,Airlines,Online,Bronze Plan,F,87,SINGAPORE,52.65,13.16,42
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,23,CHINA,48.0,0.0,36
C2B,Airlines,Online,Silver Plan,M,3,SINGAPORE,57.0,14.25,46
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,40,VIET NAM,47.0,0.0,43
SSI,Airlines,Online,Ticket Protector,Prefer not say,28,SINGAPORE,1.35,0.38,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,20,HONG KONG,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,43,MYANMAR,10.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,42,CHINA,28.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,27,MALAYSIA,10.0,0.0,26
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,40,UNITED KINGDOM,24.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,21,CHINA,55.0,0.0,36
JZI,Airlines,Online,Value Plan,F,49,AUSTRIA,67.0,23.45,49
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,33,SRI LANKA,0.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,67,CAMBODIA,21.0,0.0,36
KML,Travel Agency,Online,Value Plan,F,12,INDONESIA,48.0,18.24,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,107,JAPAN,94.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,6,THAILAND,22.0,7.7,26
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,103,CANADA,80.0,0.0,47
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,36,JAPAN,24.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,14,MALAYSIA,29.7,17.82,37
C2B,Airlines,Online,Silver Plan,F,83,SINGAPORE,22.5,5.63,33
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,68,INDIA,10.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,12,MALAYSIA,29.0,0.0,36
C2B,Airlines,Online,Bronze Plan,F,21,SINGAPORE,21.0,5.25,31
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,1,SINGAPORE,20.0,0.0,37
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,MALAYSIA,18.0,0.0,53
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,2,SINGAPORE,50.0,0.0,36
C2B,Airlines,Online,Bronze Plan,F,5,SINGAPORE,20.25,5.06,40
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,43,CANADA,47.0,0.0,49
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,51,UNITED STATES,80.0,0.0,30
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,43,JAPAN,13.0,0.0,30
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,6,GERMANY,20.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,63,UNITED ARAB EMIRATES,90.0,0.0,36
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,F,9,INDIA,26.5,17.23,50
C2B,Airlines,Online,Bronze Plan,F,2,SINGAPORE,11.5,2.88,25
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,8,NEW ZEALAND,28.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,21,VIET NAM,10.0,0.0,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,18,PHILIPPINES,26.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,9,UNITED ARAB EMIRATES,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,33,KAZAKHSTAN,80.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,33,MALAYSIA,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,100,SINGAPORE,70.0,0.0,36
TST,Travel Agency,Offline,Travel Cruise Protect,M,23,THAILAND,30.0,10.5,33
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,9,SINGAPORE,0.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,74,THAILAND,22.0,7.7,54
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,5,HONG KONG,55.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,22,CROATIA,60.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,79,ESTONIA,20.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,10,CHINA,42.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,6,AUSTRALIA,29.7,17.82,52
C2B,Airlines,Online,Bronze Plan,M,9,SINGAPORE,23.5,5.88,52
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,10,CHINA,27.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,9,SWITZERLAND,80.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,86,IRELAND,79.0,0.0,36
JZI,Airlines,Online,Basic Plan,F,37,PHILIPPINES,22.0,7.7,45
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,20,VIET NAM,20.0,0.0,27
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,39,MYANMAR,20.0,0.0,32
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,62,PHILIPPINES,13.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,5,MALAYSIA,20.0,0.0,33
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,76,PHILIPPINES,23.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,27,THAILAND,24.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,30,SPAIN,80.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,30,MALAYSIA,19.8,11.88,52
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,35,MALAYSIA,29.7,17.82,31
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,INDIA,10.0,0.0,30
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,17,INDIA,10.0,0.0,35
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,55,HONG KONG,13.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,8,BANGLADESH,55.0,0.0,53
C2B,Airlines,Online,Bronze Plan,F,16,SINGAPORE,25.2,6.3,25
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,66,MALAYSIA,10.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,9,UNITED STATES,34.0,0.0,54
JZI,Airlines,Online,Basic Plan,M,6,AUSTRALIA,0.0,9.1,31
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,2,"KOREA, REPUBLIC OF",20.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,28,SINGAPORE,43.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,14,SINGAPORE,21.0,5.25,26
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,3,"KOREA, REPUBLIC OF",80.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,2,MALAYSIA,20.0,0.0,39
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,6,UNITED ARAB EMIRATES,29.7,17.82,51
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,43,PHILIPPINES,10.0,0.0,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,39,FRANCE,0.0,17.82,29
JZI,Airlines,Online,Value Plan,F,28,CHINA,58.0,20.3,43
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,9,SINGAPORE,10.0,0.0,28
C2B,Airlines,Online,Bronze Plan,M,25,SINGAPORE,20.0,5.0,25
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,22,MALAYSIA,29.7,17.82,31
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,31,UNITED KINGDOM,59.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,33,INDIA,20.0,0.0,30
SSI,Airlines,Online,Ticket Protector,Prefer not say,63,SINGAPORE,1.93,0.54,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,23,THAILAND,20.0,0.0,32
JZI,Airlines,Online,Basic Plan,F,67,PHILIPPINES,37.0,12.95,40
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,UNITED KINGDOM,16.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,19,MALAYSIA,10.0,0.0,28
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,3,THAILAND,20.0,0.0,26
JZI,Airlines,Online,Basic Plan,F,11,PHILIPPINES,18.0,6.3,35
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,5,THAILAND,29.7,17.82,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,41,BRUNEI DARUSSALAM,34.0,0.0,36
ART,Airlines,Online,24 Protect,F,6,MALAYSIA,6.2,2.17,48
C2B,Airlines,Online,Bronze Plan,F,15,SINGAPORE,27.0,6.75,32
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,26,MYANMAR,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,6,SINGAPORE,12.0,0.0,37
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,42,AUSTRALIA,19.8,11.88,29
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,91,JAPAN,43.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,16,SINGAPORE,13.5,3.38,51
C2B,Airlines,Online,Bronze Plan,F,97,SINGAPORE,69.55,17.39,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,1,MYANMAR,20.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,68,CHINA,36.0,0.0,36
SSI,Airlines,Online,Ticket Protector,Prefer not say,14,SINGAPORE,7.21,2.02,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,9,THAILAND,10.0,0.0,28
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,19,MALAYSIA,12.0,0.0,28
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,45,THAILAND,29.0,0.0,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,6,DENMARK,-19.8,11.88,53
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,41,SINGAPORE,28.0,0.0,51
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,18,CHINA,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,10,CHINA,62.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,9,LAO PEOPLE'S DEMOCRATIC REPUBLIC,12.0,0.0,36
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,M,2,INDONESIA,27.0,17.55,31
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,65,THAILAND,11.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,13,THAILAND,38.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,8,HONG KONG,19.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,15,CHINA,26.0,9.1,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,38,HONG KONG,30.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,33,SINGAPORE,14.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,40,UNITED STATES,20.0,0.0,47
C2B,Airlines,Online,Bronze Plan,M,5,SINGAPORE,23.4,5.85,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,15,MALAYSIA,37.0,0.0,36
TST,Travel Agency,Offline,Travel Cruise Protect,F,11,MALAYSIA,30.0,10.5,30
C2B,Airlines,Online,Bronze Plan,M,29,SINGAPORE,27.0,6.75,30
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,21,SINGAPORE,10.0,0.0,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,23,INDONESIA,17.0,0.0,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,94,PHILIPPINES,55.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,12,MALAYSIA,39.6,23.76,45
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,67,MYANMAR,20.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,50,THAILAND,29.7,17.82,35
JZI,Airlines,Online,Basic Plan,M,3,THAILAND,18.0,6.3,43
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,25,THAILAND,14.0,0.0,39
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,45,HONG KONG,11.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,25,INDONESIA,52.0,0.0,41
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,35,GHANA,48.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,56,UNITED STATES,60.0,0.0,31
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,10,SINGAPORE,32.0,0.0,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,2,INDONESIA,21.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,32,HONG KONG,26.0,9.1,30
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,11,HONG KONG,57.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,23,THAILAND,11.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,26,INDIA,16.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,58,SINGAPORE,23.0,5.75,29
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,8,MALAYSIA,46.0,0.0,52
JZI,Airlines,Online,Basic Plan,F,4,THAILAND,18.0,6.3,46
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,43,UNITED STATES,80.0,0.0,45
JZI,Airlines,Online,Basic Plan,M,38,MACAO,26.0,9.1,34
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,12,SINGAPORE,40.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,SINGAPORE,42.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,63,UNITED STATES,78.0,0.0,25
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,88,SINGAPORE,42.0,0.0,36
C2B,Airlines,Online,Bronze Plan,M,7,SINGAPORE,20.8,5.2,29
SSI,Airlines,Online,Ticket Protector,Prefer not say,97,SINGAPORE,7.21,2.02,48
JZI,Airlines,Online,Basic Plan,M,12,INDONESIA,18.0,6.3,54
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,5,MALAYSIA,10.0,0.0,52
RAB,Airlines,Online,Value Plan,M,1,BRUNEI DARUSSALAM,15.0,6.0,48
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,9,PHILIPPINES,21.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,14,THAILAND,10.0,0.0,36
JZI,Airlines,Online,Basic Plan,M,25,THAILAND,33.0,11.55,43
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,9,THAILAND,20.0,0.0,36
JZI,Airlines,Online,Basic Plan,F,26,INDONESIA,33.0,11.55,34
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,30,CHINA,56.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,15,"KOREA, REPUBLIC OF",56.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,35,VIET NAM,23.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,6,UNITED ARAB EMIRATES,29.7,17.82,26
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,12,CHINA,22.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,1,SPAIN,11.0,0.0,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,8,VIET NAM,20.0,0.0,33
TST,Travel Agency,Offline,Travel Cruise Protect,F,74,THAILAND,30.0,10.5,46
CBH,Travel Agency,Offline,Comprehensive Plan,F,46,THAILAND,29.0,9.57,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,18,AUSTRALIA,39.6,23.76,31
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,CHINA,28.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,11,INDONESIA,10.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,16,VIET NAM,13.0,0.0,48
SSI,Airlines,Online,Ticket Protector,Prefer not say,29,SINGAPORE,1.03,0.29,48
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,7,SINGAPORE,29.0,0.0,53
JZI,Airlines,Online,Basic Plan,M,17,INDIA,22.0,7.7,27
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,55,INDIA,27.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,12,"TAIWAN, PROVINCE OF CHINA",15.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,13,JAPAN,13.0,0.0,26
C2B,Airlines,Online,Bronze Plan,M,7,SINGAPORE,27.0,6.75,30
C2B,Airlines,Online,Silver Plan,F,22,SINGAPORE,72.0,18.0,53
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,34,THAILAND,20.0,0.0,28
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,8,AUSTRALIA,39.6,23.76,34
C2B,Airlines,Online,Bronze Plan,F,13,SINGAPORE,47.0,11.75,47
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,4,BANGLADESH,10.0,0.0,34
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,14,INDIA,24.0,0.0,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,7,SWITZERLAND,9.9,5.94,47
JZI,Airlines,Online,Basic Plan,F,41,INDONESIA,37.0,12.95,32
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,3,SINGAPORE,60.0,0.0,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,Prefer not say,7,INDIA,23.0,0.0,31
C2B,Airlines,Online,Bronze Plan,M,8,SINGAPORE,20.0,5.0,32
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,28,INDIA,20.0,0.0,36
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,45,UNITED STATES,80.0,0.0,50
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,Prefer not say,16,MALAYSIA,29.7,17.82,39
C2B,Airlines,Online,Bronze Plan,F,5,SINGAPORE,16.0,4.0,44
C2B,Airlines,Online,Bronze Plan,M,8,SINGAPORE,27.0,6.75,41
JZI,Airlines,Online,Basic Plan,M,14,CHINA,26.0,9.1,54
EPX,Travel Agency,Online,Cancellation Plan,Prefer not say,81,UNITED STATES,10.0,0.0,50
SSI,Airlines,Online,Ticket Protector,Prefer not say,2,SINGAPORE,3.32,0.93,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,Prefer not say,6,MYANMAR,20.0,0.0,39
SSI,Airlines,Online,Ticket Protector,Prefer not say,78,SINGAPORE,2.44,0.68,48
